Country Name,Country Code,Access to electricity (% of population),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, secondary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 Emissions (million tonnes),CO2 Emissions per Capita,population,GDP (CO2 dataset)
Afghanistan,AFG,85.3,413.75789470530316,17.7,66.035,2.13559384981397,88.6602113500235,13.991,10.558,0.26,40578846.0,53303472128.0
Africa Eastern and Southern,AFE,50.668330483016746,1568.159891053048,80.80000000000001,65.146290855385,2.520818082913593,88.6602113500235,7.806365421811965,11.355,2.8655,7348056.0,99281829888.0
Africa Western and Central,AFW,57.069266580359525,1599.3929829165431,80.80000000000001,58.85572154832764,2.3862035603899154,46.6294403076172,3.277245466051411,11.355,2.8655,7348056.0,99281829888.0
Albania,ALB,100.0,8575.171346372215,83.1,79.602,-1.14841763771287,96.1368789672852,10.108,5.173,1.83,2827615.0,36171005952.0
Algeria,DZA,100.0,5364.027950227306,76.9,76.261,1.49897601193923,102.7021484375,11.701,184.558,4.058,45477391.0,595820000000.0
American Samoa,ASM,100.0,7826.353764832983,80.80000000000001,72.852,-1.71290294190977,88.6602113500235,5.1835,11.355,2.8655,7348056.0,99281829888.0
Andorra,AND,100.0,46812.44844863085,95.39999999999999,84.041,1.43374756867515,99.7635498046875,5.1835,0.42,5.263,79722.0,99281829888.0
Angola,AGO,51.1,2309.534130427727,44.800000000000004,64.617,3.08065530722915,88.6602113500235,14.537,20.25,0.568,35635028.0,158346000000.0
Antigua and Barbuda,ATG,100.0,21494.547400072708,77.60000000000001,77.598,0.511400156215609,88.6602113500235,5.1835,0.618,6.657,92851.0,99281829888.0
Arab World,ARB,91.64542994445092,7479.688091032791,80.80000000000001,72.44467835785314,2.2558660264406285,70.6840667724609,9.581397143306233,11.355,2.8655,7348056.0,99281829888.0
Argentina,ARG,100.0,14187.482725296491,89.2,77.395,0.286976121920089,88.6602113500235,6.139,204.081,4.494,45407904.0,854914000000.0
Armenia,ARM,100.0,8125.273957540031,80.0,77.4658536585366,-0.165163937436499,95.1246490478516,13.245,7.165,2.487,2880883.0,39721734144.0
Aruba,ABW,100.0,33984.790619804095,80.80000000000001,76.353,0.0456516784920034,88.6602113500235,5.1835,0.831,7.712,107792.0,99281829888.0
Australia,AUS,100.0,64835.9199754535,97.1,83.05121951219513,2.42431553908742,88.6602113500235,3.668,384.362,14.67,26200987.0,1344250000000.0
Austria,AUT,100.0,56033.57379206499,95.3,81.54146341463417,0.989464653969154,88.6602113500235,5.264,61.489,6.783,9064679.0,398815000000.0
Azerbaijan,AZE,100.0,7133.028380483284,89.0,74.429,0.120242150339289,92.7589111328125,5.636,40.391,3.923,10295307.0,175371000000.0
"Bahamas, The",BHS,100.0,38231.77448427799,94.8,74.552,0.477303918283875,78.757926940918,8.643,2.402,6.041,397544.0,99281829888.0
Bangladesh,BGD,99.5,2551.017738273069,44.5,74.672,1.22171475464107,71.4947068269712,4.454,113.863,0.672,169384890.0,858144000000.0
Barbados,BRB,100.0,23804.02499149949,80.0,76.178,0.00637558575909917,105.655097961426,7.878,1.143,4.05,282324.0,3408005888.0
Belarus,BLR,100.0,7896.753882955836,91.5,74.18378048780488,-0.540824986374776,93.5995101928711,3.461,59.384,6.474,9173241.0,175774000000.0
Belgium,BEL,100.0,54690.09427349642,94.6,82.39756097560976,0.913715890414841,88.6602113500235,5.528,89.002,7.645,11641813.0,489678000000.0
Belize,BLZ,99.6,7459.998151328368,72.39999999999999,73.566,2.05772774277288,83.3849182128906,8.267,0.632,1.57,402741.0,99281829888.0
Benin,BEN,57.0,1394.1778466304497,32.2,60.774,2.52274772277722,88.6602113500235,1.657,5.792,0.421,13759507.0,33290362880.0
Bermuda,BMU,100.0,132604.43908621595,80.80000000000001,82.309,-0.0787967316952785,71.8350524902344,5.1835,0.501,7.733,64772.0,99281829888.0
Bhutan,BTN,100.0,3839.4093039286,88.4,72.975,0.698146584889649,88.6602113500235,3.126,1.635,2.094,780920.0,99281829888.0
Bolivia,BOL,99.8,3686.2799644217585,70.19999999999999,68.581,1.37334382280772,92.400520324707,3.024,22.378,1.853,12077155.0,78165311488.0
Bosnia and Herzegovina,BIH,100.0,8663.023229878792,83.39999999999999,77.85,-0.617510129445164,84.2911529541016,10.668,20.963,6.541,3204805.0,47069138944.0
